id,name,category,description,availability,price
1,Tempura Camarón,Tempura,Verduras capeadas (calabaza zanahoria cebolla brócoli coliflor plátano morrón champiñón),true,155.00
2,Tempura Mixto,Tempura,Verduras capeadas (calabaza zanahoria cebolla brócoli coliflor plátano morrón champiñón),true,155.00
3,Tempura Pollo,Tempura,Verduras capeadas (calabaza zanahoria cebolla brócoli coliflor plátano morrón champiñón),true,135.00
4,Tempura Pescado,Tempura,Verduras capeadas (calabaza zanahoria cebolla brócoli coliflor plátano morrón champiñón),true,150.00
5,Tempura Verduras,Tempura,Verduras capeadas (calabaza zanahoria cebolla brócoli coliflor plátano morrón champiñón),true,99.00
6,Tepanyaki Camarón,Tepanyaki,Verduras a la plancha marinadas con salsa de soya (calabaza zanahoria cebolla brócoli coliflor morrón champiñón y germinado),true,150.00
7,Tepanyaki Mixto,Tepanyaki,Verduras a la plancha marinadas con salsa de soya (calabaza zanahoria cebolla brócoli coliflor morrón champiñón y germinado),true,150.00
8,Tepanyaki Pollo,Tepanyaki,Verduras a la plancha marinadas con salsa de soya (calabaza zanahoria cebolla brócoli coliflor morrón champiñón y germinado),true,135.00
9,Tepanyaki Res,Tepanyaki,Verduras a la plancha marinadas con salsa de soya (calabaza zanahoria cebolla brócoli coliflor morrón champiñón y germinado),true,150.00
10,Tepanyaki Verduras,Tepanyaki,Verduras a la plancha marinadas con salsa de soya (calabaza zanahoria cebolla brócoli coliflor morrón champiñón y germinado),true,99.00
11,Chop-Suey Pollo,Comida China,Verduras y arroz al vapor (germinado zanahoria cebolla y apio),true,130.00
12,Chop-Suey Camarón,Comida China,Verduras y arroz al vapor (germinado zanahoria cebolla y apio),true,145.00
13,Chop-Suey Res,Comida China,Verduras y arroz al vapor (germinado zanahoria cebolla y apio),true,145.00
14,Chop-Suey Mixto,Comida China,Verduras y arroz al vapor (germinado zanahoria cebolla y apio),true,145.00
15,Pollo Agridulce,Comida China,Zanahoria cebolla morrón piña trocitos de pollo capeados en salsa agridulce con arroz blanco,true,130.00
16,Res con Brócoli,Comida China,Res brócoli champiñón y cebolla con arroz blanco,true,145.00
17,Pollo con Brócoli,Comida China,Pollo brócoli champiñón y cebolla con arroz blanco,true,130.00
18,Chow-Mein Pollo,Comida China,Tallarines y verduras (zanahoria morrón cebolla apio y brócoli),true,130.00
19,Chow-Mein Camarón,Comida China,Tallarines y verduras (zanahoria morrón cebolla apio y brócoli),true,145.00
20,Chow-Mein Res,Comida China,Tallarines y verduras (zanahoria morrón cebolla apio y brócoli),true,145.00
21,Chow-Mein Mixto,Comida China,Tallarines y verduras (zanahoria morrón cebolla apio y brócoli),true,145.00
22,Midori Especial,Especialidades,Por dentro salmón pulpo y queso crema. Por fuera aguacate y pepino,true,140.00
23,Banana Ebi,Especialidades,Por dentro zanahoria dulce pepino queso crema y camarón. Por fuera plátano frito salsa de anguila y ajonjolí,true,120.00
24,Banana Especial,Especialidades,Por dentro camarón pepino y cangrejo. Por fuera queso crema plátano capeado con salsa de anguila y ajonjolí,true,135.00
25,Ebi Especial,Especialidades,Por dentro salmón y aguacate. Por fuera queso crema y camarón,true,139.00
26,Tempura Maki,Especialidades,Por dentro camarón capeado espinaca massago pepino aguacate y queso crema. Alga por fuera,true,130.00
27,Eclipse,Especialidades,Por dentro camarón aguacate y massago. Por fuera queso crema y pepino,true,125.00
28,California c/Massago,Especialidades,Por dentro camarón aguacate queso crema y pepino. Por fuera massago,true,125.00
29,Chizu Roll,Especialidades,Por dentro aguacate pollo y brocheta de queso. Por fuera queso crema y cebollín,true,125.00
30,Chipotle,Especialidades,Por dentro camarón empanizado y pepino. Por fuera queso crema aguacate massago y salsa chipotle,true,135.00
31,Tako Especial,Especialidades,Por dentro camarón y aguacate. Por fuera queso crema y pulpo,true,135.00
32,Tampico Especial,Especialidades,Por dentro ensalada de cangrejo cangrejo y massago. Alga por fuera,true,120.00
33,Kani Roll,Especialidades,Por dentro camarón aguacate pepino y queso crema. Por fuera cangrejo,true,135.00
